,Pairs,source,target,Reaction,RPAIR_main
2605,C00125_C00126,C00125,C00126,R00640,2
2606,C00080_C00125,C00125,C00080,R00640,2
2607,C00072_C01115,C01115,C00072,R00643,2
2608,C00027_C01115,C01115,C00027,R00643,2
2609,C00007_C00072,C00007,C00072,R00643,2
2610,C00007_C00027,C00007,C00027,R00643,1
2611,C00072_C05422,C00072,C05422,R00644,1
2612,C00001_C00072,C00072,C00001,R00644,2
2613,C00027_C05422,C00027,C05422,R00644,2
2614,C00001_C00027,C00027,C00001,R00644,0
2615,C00072_C01041,C00072,C01041,R00645,2
2616,C00030_C00072,C00072,C00030,R00645,2
2617,C00028_C01041,C00028,C01041,R00645,2
2618,C00028_C00030,C00028,C00030,R00645,2
2619,C00072_C01620,C00072,C01620,R00646,2
2620,C00072_C00209,C00072,C00209,R00646,2
2621,C00007_C01620,C00007,C01620,R00646,2
2622,C00007_C00209,C00007,C00209,R00646,2
2623,C00001_C01620,C00001,C01620,R00646,2
2624,C00001_C00209,C00001,C00209,R00646,0
2625,C00072_C03289,C00072,C03289,R00647,1
2626,C00073_C01180,C00073,C01180,R00648,1
2627,C00014_C00073,C00073,C00014,R00648,0
2628,C00027_C00073,C00073,C00027,R00648,2
2629,C00001_C01180,C00001,C01180,R00648,0
2630,C00001_C00014,C00001,C00014,R00648,2
2631,C00001_C00027,C00001,C00027,R00648,0
2632,C00007_C01180,C00007,C01180,R00648,0
2633,C00007_C00014,C00007,C00014,R00648,2
2634,C00007_C00027,C00007,C00027,R00648,1
2635,C00019_C00021,C00019,C00021,R00649,1
2636,C00019_C03172,C00019,C03172,R00649,0
2637,C00021_C00073,C00073,C00021,R00649,2
2638,C00073_C03172,C00073,C03172,R00649,1
2639,C00021_C00080,C00080,C00021,R00649,2
2640,C00080_C03172,C00080,C03172,R00649,2
2641,C00019_C00021,C00019,C00021,R00650,1
2642,C00019_C00073,C00019,C00073,R00650,1
2643,C00021_C00155,C00155,C00021,R00650,1
2644,C00073_C00155,C00155,C00073,R00650,1
2645,C00073_C01077,C01077,C00073,R00651,0
2646,C00033_C01077,C01077,C00033,R00651,1
2647,C00073_C00409,C00409,C00073,R00651,1
2648,C00033_C00409,C00409,C00033,R00651,2
2649,C00073_C01180,C00073,C01180,R00652,1
2650,C00037_C00073,C00073,C00037,R00652,0
2651,C00048_C01180,C00048,C01180,R00652,0
2652,C00037_C00048,C00048,C00037,R00652,1
2653,C00058_C03145,C03145,C00058,R00653,1
2654,C00073_C03145,C03145,C00073,R00653,1
2655,C00001_C00058,C00001,C00058,R00653,0
2656,C00001_C00073,C00001,C00073,R00653,2
2657,C00073_C00409,C00073,C00409,R00654,1
2658,C00014_C00073,C00073,C00014,R00654,0
2659,C00073_C00109,C00073,C00109,R00654,1
